12:04:12,319 4,54 34,26 19,75 8,00 10,68 7,82 4,63 0,00 0,00 0,00 0,08 0,07 0,08 56,62 14,33 62,34 75,74 34,97 76,40 12,91 1,43 3,37 0,47 0,70 51,59 6,94 44,31 19,49 4,32 0,02 0,05 0,69 0,80 0,01 27,77 11,84 42,59 45,78 3,45 15,34 4,73 10,31 0,13 0,42 0,92 1,00 1,73 0,16
12:04:14,646 3,08 19,94 12,91 4,91 6,60 5,31 3,12 0,00 0,00 0,00 0,04 0,04 0,04 4,95 8,57 1,67 26,95 19,89 14,55 5,55 0,89 0,91 0,22 0,44 17,13 4,39 4,31 9,87 2,80 0,00 0,01 0,52 0,62 0,00 23,54 6,09 19,52 42,79 2,33 8,85 2,97 6,62 0,06 0,19 0,34 0,48 0,92 0,07
12:04:16,946 2,86 18,00 11,92 4,48 6,02 4,94 2,89 0,00 0,00 0,00 0,03 0,04 0,04 3,19 7,81 0,87 22,38 17,97 10,80 4,77 0,82 0,72 0,19 0,41 14,49 4,10 3,02 8,90 2,62 0,00 0,00 0,50 0,60 0,00 17,85 2,00 5,29 38,23 1,21 6,53 2,29 5,18 0,03 0,11 0,17 0,30 0,60 0,04
12:04:19,268 2,82 17,64 11,73 4,40 5,92 4,87 2,85 0,00 0,00 0,00 0,03 0,04 0,04 2,93 7,67 0,77 21,57 17,61 10,19 4,61 0,81 0,68 0,19 0,40 13,94 4,03 2,78 8,69 2,58 0,00 0,00 0,49 0,59 0,00 14,41 0,84 1,92 35,03 0,73 6,50 2,28 5,17 0,06 0,19 0,34 0,49 0,92 0,07
12:04:21,579 2,81 17,57 11,69 4,38 5,89 4,86 2,84 0,00 0,00 0,00 0,03 0,04 0,04 2,85 7,63 0,74 21,33 17,50 10,00 4,58 0,80 0,67 0,18 0,40 13,41 3,97 2,56 8,48 2,54 0,00 0,00 0,49 0,59 0,00 18,28 2,20 5,93 38,60 1,28 7,87 2,68 6,03 0,06 0,20 0,38 0,53 0,98 0,07
12:04:23,876 2,81 17,56 11,69 4,38 5,89 4,85 2,84 0,00 0,00 0,00 0,03 0,04 0,04 2,84 7,62 0,73 21,28 17,48 9,96 4,58 0,80 0,67 0,18 0,40 13,47 3,98 2,59 8,51 2,55 0,00 0,00 0,49 0,59 0,00 23,50 6,05 19,37 42,76 2,32 7,71 2,64 5,93 0,06 0,19 0,35 0,49 0,93 0,07
12:04:26,196 2,81 17,56 11,68 4,38 5,89 4,85 2,84 0,00 0,00 0,00 0,03 0,04 0,04 2,86 7,64 0,74 21,36 17,52 10,02 4,61 0,80 0,68 0,19 0,40 13,99 4,04 2,80 8,71 2,59 0,00 0,00 0,49 0,59 0,00 20,68 3,62 10,59 40,59 1,72 6,20 2,19 4,97 0,04 0,12 0,20 0,33 0,66 0,04
12:04:28,511 2,82 17,60 11,71 4,39 5,90 4,86 2,85 0,00 0,00 0,00 0,03 0,04 0,04 2,87 7,64 0,74 21,38 17,52 10,03 4,58 0,80 0,67 0,18 0,40 13,93 4,03 2,78 8,68 2,58 0,00 0,00 0,49 0,59 0,00 23,48 6,03 19,29 42,75 2,32 7,28 2,51 5,66 0,07 0,24 0,46 0,61 1,12 0,09
12:04:30,844 2,81 17,56 11,69 4,38 5,89 4,85 2,84 0,00 0,00 0,00 0,03 0,04 0,04 2,87 7,64 0,74 21,38 17,52 10,04 4,58 0,80 0,67 0,18 0,40 13,41 3,97 2,56 8,48 2,54 0,00 0,00 0,49 0,59 0,00 23,32 5,86 18,66 42,63 2,28 7,66 2,62 5,90 0,09 0,28 0,56 0,70 1,25 0,10
12:04:33,157 2,81 17,56 11,69 4,38 5,89 4,85 2,84 0,00 0,00 0,00 0,03 0,04 0,04 2,84 7,62 0,73 21,29 17,49 9,97 4,59 0,80 0,68 0,18 0,40 13,56 3,99 2,62 8,54 2,55 0,00 0,00 0,49 0,59 0,00 31,29 19,12 74,74 48,06 4,57 6,47 2,27 5,14 0,02 0,08 0,13 0,24 0,49 0,03
12:04:35,461 2,81 17,56 11,68 4,38 5,89 4,85 2,84 0,00 0,00 0,00 0,03 0,04 0,04 2,86 7,64 0,74 21,36 17,52 10,02 4,59 0,80 0,68 0,18 0,40 13,84 4,02 2,74 8,65 2,57 0,00 0,00 0,49 0,59 0,00 22,33 4,92 15,21 41,88 2,06 6,62 2,32 5,24 0,07 0,22 0,43 0,57 1,06 0,08
12:04:37,765 2,81 17,56 11,68 4,38 5,89 4,85 2,84 0,00 0,00 0,00 0,03 0,04 0,04 2,84 7,62 0,73 21,29 17,48 9,97 4,58 0,80 0,67 0,18 0,40 13,56 3,99 2,62 8,54 2,55 0,00 0,00 0,49 0,59 0,00 35,91 33,29 143,19 50,83 6,33 9,65 3,19 7,10 0,12 0,38 0,83 0,93 1,62 0,15
12:04:40,103 2,81 17,56 11,68 4,38 5,89 4,85 2,84 0,00 0,00 0,00 0,03 0,04 0,04 2,81 7,60 0,72 21,19 17,44 9,89 4,57 0,80 0,67 0,18 0,40 13,34 3,96 2,53 8,46 2,54 0,00 0,00 0,49 0,59 0,00 30,31 16,83 64,36 47,44 4,24 8,75 2,94 6,56 0,10 0,33 0,68 0,81 1,43 0,12
