16:29:23,616 calibrating is done,
16:29:33,237 4,57 34,58 19,90 8,06 10,76 7,87 4,66 0,00 0,00 0,00 0,08 0,07 0,08 59,41 14,48 66,95 77,30 35,36 78,94 12,97 1,43 3,39 0,47 0,70 53,18 7,02 47,26 19,86 4,37 0,02 0,05 0,70 0,81 0,01 16,67 1,52 3,84 37,18 1,03 6,54 2,29 5,19 0,15 0,46 1,04 1,09 1,86 0,18
16:29:35,569 3,09 20,03 12,96 4,93 6,62 5,33 3,13 0,00 0,00 0,00 0,04 0,04 0,04 5,25 8,68 1,83 27,62 20,16 15,14 5,55 0,89 0,91 0,22 0,44 17,66 4,45 4,59 10,06 2,83 0,00 0,01 0,53 0,63 0,00 13,78 0,71 1,56 34,40 0,66 3,38 1,31 3,05 0,11 0,35 0,75 0,86 1,51 0,13
16:29:37,885 2,89 18,23 12,04 4,53 6,09 4,99 2,92 0,00 0,00 0,00 0,03 0,04 0,04 3,42 7,93 0,97 23,04 18,26 11,32 4,75 0,82 0,71 0,19 0,41 14,31 4,08 2,94 8,83 2,61 0,00 0,01 0,50 0,60 0,00 12,23 0,44 0,89 32,76 0,49 4,44 1,65 3,80 0,11 0,36 0,76 0,87 1,52 0,14
16:29:40,181 2,84 17,82 11,82 4,44 5,97 4,91 2,87 0,00 0,00 0,00 0,03 0,04 0,04 3,15 7,79 0,86 22,24 17,91 10,69 4,61 0,81 0,68 0,19 0,40 14,07 4,05 2,84 8,74 2,59 0,00 0,00 0,50 0,60 0,00 11,19 0,31 0,58 31,60 0,40 3,43 1,33 3,09 0,11 0,35 0,75 0,87 1,52 0,14
16:29:42,489 2,83 17,70 11,76 4,41 5,93 4,88 2,86 0,00 0,00 0,00 0,03 0,04 0,04 3,09 7,76 0,83 22,08 17,84 10,57 4,55 0,80 0,67 0,18 0,40 13,85 4,02 2,75 8,66 2,58 0,00 0,00 0,50 0,59 0,00 12,55 0,48 1,00 33,11 0,53 4,18 1,57 3,62 0,07 0,24 0,47 0,61 1,13 0,09
16:29:44,832 2,83 17,76 11,79 4,42 5,95 4,89 2,87 0,00 0,00 0,00 0,03 0,04 0,04 3,05 7,74 0,82 21,96 17,78 10,48 4,59 0,80 0,68 0,18 0,40 13,81 4,02 2,73 8,64 2,57 0,00 0,00 0,50 0,59 0,00 9,41 0,15 0,26 29,45 0,27 4,33 1,61 3,72 0,10 0,32 0,66 0,78 1,39 0,12
16:29:47,120 2,83 17,69 11,75 4,41 5,93 4,88 2,86 0,00 0,00 0,00 0,03 0,04 0,04 3,02 7,72 0,80 21,85 17,73 10,39 4,55 0,80 0,67 0,18 0,40 13,80 4,02 2,72 8,64 2,57 0,00 0,00 0,50 0,59 0,00 8,49 0,10 0,16 28,24 0,21 3,94 1,49 3,45 0,15 0,47 1,06 1,11 1,88 0,18
16:29:49,448 2,83 17,75 11,79 4,42 5,95 4,89 2,87 0,00 0,00 0,00 0,03 0,04 0,04 3,04 7,73 0,81 21,91 17,76 10,44 4,54 0,80 0,66 0,18 0,40 13,80 4,02 2,72 8,64 2,57 0,00 0,00 0,50 0,59 0,00 10,00 0,19 0,34 30,18 0,31 5,07 1,85 4,23 0,16 0,49 1,14 1,17 1,97 0,19
16:29:51,739 2,82 17,65 11,73 4,40 5,92 4,87 2,85 0,00 0,00 0,00 0,03 0,04 0,04 3,04 7,74 0,81 21,93 17,77 10,45 4,54 0,80 0,66 0,18 0,40 13,71 4,01 2,69 8,60 2,57 0,00 0,00 0,50 0,59 0,00 11,78 0,38 0,74 32,27 0,45 4,37 1,63 3,75 0,12 0,38 0,82 0,92 1,60 0,15
16:29:54,065 2,82 17,63 11,72 4,39 5,91 4,87 2,85 0,00 0,00 0,00 0,03 0,04 0,04 3,02 7,72 0,80 21,84 17,73 10,39 4,54 0,80 0,66 0,18 0,40 13,70 4,00 2,68 8,60 2,56 0,00 0,00 0,50 0,59 0,00 14,15 0,79 1,77 34,77 0,70 4,79 1,76 4,04 0,12 0,39 0,84 0,94 1,62 0,15
16:29:56,372 2,82 17,66 11,74 4,40 5,92 4,87 2,86 0,00 0,00 0,00 0,03 0,04 0,04 3,01 7,72 0,80 21,82 17,72 10,37 4,54 0,80 0,66 0,18 0,40 13,69 4,00 2,68 8,59 2,56 0,00 0,00 0,50 0,59 0,00 11,45 0,33 0,65 31,89 0,42 3,53 1,36 3,16 0,10 0,33 0,68 0,80 1,42 0,12
