13:47:20,186 4,56 34,48 19,85 8,04 10,74 7,86 4,65 0,00 0,00 0,00 0,08 0,07 0,08 60,86 14,55 69,40 78,10 35,56 80,25 12,97 1,43 3,39 0,47 0,70 54,43 7,09 49,64 20,15 4,41 0,02 0,05 0,70 0,81 0,01 5,54 0,02 0,02 23,72 0,08 5,17 1,88 4,30 0,01 0,03 0,04 0,10 0,24 0,01
13:47:22,484 3,09 20,01 12,95 4,93 6,62 5,33 3,13 0,00 0,00 0,00 0,04 0,04 0,04 5,32 8,70 1,86 27,79 20,22 15,29 5,55 0,89 0,91 0,22 0,44 18,08 4,49 4,82 10,20 2,86 0,00 0,01 0,53 0,63 0,00 8,31 0,09 0,14 27,99 0,20 3,89 1,47 3,42 0,01 0,05 0,07 0,15 0,34 0,02
13:47:24,826 2,88 18,19 12,02 4,52 6,08 4,98 2,92 0,00 0,00 0,00 0,04 0,04 0,04 3,30 7,87 0,92 22,69 18,11 11,05 4,79 0,82 0,72 0,19 0,41 14,64 4,12 3,09 8,96 2,63 0,00 0,01 0,50 0,60 0,00 5,19 0,01 0,02 23,10 0,07 4,02 1,52 3,51 0,02 0,05 0,07 0,16 0,35 0,02
13:47:27,119 2,84 17,77 11,80 4,43 5,95 4,90 2,87 0,00 0,00 0,00 0,03 0,04 0,04 3,06 7,75 0,82 21,99 17,80 10,50 4,63 0,81 0,69 0,19 0,40 14,14 4,06 2,87 8,77 2,60 0,00 0,00 0,50 0,60 0,00 3,96 0,00 0,00 20,69 0,03 2,60 1,05 2,47 0,01 0,02 0,02 0,07 0,17 0,01
13:47:29,448 2,84 17,77 11,80 4,43 5,95 4,90 2,87 0,00 0,00 0,00 0,03 0,04 0,04 2,99 7,71 0,79 21,76 17,70 10,33 4,60 0,80 0,68 0,19 0,40 13,95 4,03 2,79 8,70 2,58 0,00 0,00 0,50 0,59 0,00 5,27 0,01 0,02 23,25 0,07 3,65 1,40 3,24 0,01 0,05 0,06 0,14 0,31 0,01
13:47:31,737 2,83 17,73 11,78 4,42 5,94 4,89 2,86 0,00 0,00 0,00 0,03 0,04 0,04 3,00 7,71 0,80 21,81 17,72 10,36 4,61 0,81 0,68 0,19 0,40 13,92 4,03 2,77 8,68 2,58 0,00 0,00 0,50 0,59 0,00 3,57 0,00 0,00 19,83 0,03 2,56 1,03 2,44 0,01 0,02 0,02 0,07 0,16 0,01
13:47:34,079 2,83 17,72 11,77 4,41 5,94 4,89 2,86 0,00 0,00 0,00 0,03 0,04 0,04 2,98 7,70 0,79 21,73 17,68 10,30 4,60 0,80 0,68 0,18 0,40 13,91 4,03 2,77 8,68 2,58 0,00 0,00 0,50 0,59 0,00 5,36 0,02 0,02 23,41 0,07 3,64 1,39 3,24 0,01 0,05 0,06 0,14 0,31 0,01
13:47:36,375 2,84 17,76 11,79 4,42 5,95 4,89 2,87 0,00 0,00 0,00 0,03 0,04 0,04 3,03 7,73 0,81 21,89 17,75 10,43 4,58 0,80 0,67 0,18 0,40 13,91 4,03 2,77 8,68 2,58 0,00 0,00 0,50 0,59 0,00 3,02 0,00 0,00 18,52 0,02 2,26 0,93 2,20 0,01 0,04 0,06 0,13 0,30 0,01
13:47:38,686 2,83 17,73 11,77 4,42 5,94 4,89 2,86 0,00 0,00 0,00 0,03 0,04 0,04 3,01 7,72 0,80 21,83 17,73 10,38 4,57 0,80 0,67 0,18 0,40 13,99 4,04 2,81 8,71 2,59 0,00 0,00 0,50 0,59 0,00 4,24 0,01 0,01 21,27 0,04 2,63 1,06 2,49 0,01 0,02 0,03 0,07 0,18 0,01
13:47:41,012 2,83 17,72 11,77 4,41 5,94 4,89 2,86 0,00 0,00 0,00 0,03 0,04 0,04 2,98 7,70 0,79 21,73 17,68 10,31 4,57 0,80 0,67 0,18 0,40 14,01 4,04 2,81 8,72 2,59 0,00 0,00 0,50 0,59 0,00 5,68 0,02 0,02 23,96 0,08 3,37 1,30 3,04 0,01 0,05 0,06 0,14 0,30 0,01
13:47:43,336 2,83 17,72 11,77 4,41 5,94 4,89 2,86 0,00 0,00 0,00 0,03 0,04 0,04 3,03 7,73 0,81 21,89 17,75 10,43 4,54 0,80 0,67 0,18 0,40 13,93 4,03 2,78 8,69 2,58 0,00 0,00 0,50 0,59 0,00 6,30 0,03 0,04 24,99 0,10 3,99 1,51 3,49 0,02 0,07 0,10 0,20 0,42 0,02
13:47:45,643 2,82 17,64 11,73 4,40 5,91 4,87 2,85 0,00 0,00 0,00 0,03 0,04 0,04 2,98 7,70 0,79 21,74 17,69 10,31 4,57 0,80 0,67 0,18 0,40 14,00 4,04 2,81 8,71 2,59 0,00 0,00 0,50 0,59 0,00 7,26 0,05 0,08 26,48 0,14 3,89 1,47 3,41 0,02 0,06 0,08 0,18 0,38 0,02
13:47:47,931 2,82 17,66 11,74 4,40 5,92 4,87 2,86 0,00 0,00 0,00 0,03 0,04 0,04 2,95 7,68 0,78 21,63 17,64 10,23 4,57 0,80 0,67 0,18 0,40 13,93 4,03 2,78 8,68 2,58 0,00 0,00 0,50 0,59 0,00 5,00 0,01 0,01 22,75 0,06 3,69 1,41 3,27 0,02 0,06 0,08 0,16 0,36 0,02
