18:43:49,335 4,58 34,68 19,94 8,08 10,79 7,89 4,67 0,00 0,00 0,00 0,08 0,07 0,08 58,01 14,40 64,62 76,52 35,16 77,67 11,64 1,35 2,87 0,43 0,66 52,86 7,01 46,66 19,79 4,36 0,02 0,05 0,70 0,81 0,01 21,07 3,90 11,57 40,90 1,79 8,27 2,80 6,27 0,01 0,02 0,02 0,06 0,16 0,01
18:43:51,657 3,10 20,08 12,98 4,94 6,64 5,34 3,13 0,00 0,00 0,00 0,04 0,04 0,04 4,92 8,56 1,66 26,88 19,86 14,49 4,90 0,83 0,75 0,20 0,41 17,66 4,45 4,59 10,06 2,83 0,00 0,01 0,53 0,63 0,00 26,29 9,49 32,86 44,76 3,03 5,67 2,03 4,63 0,06 0,19 0,34 0,49 0,92 0,07
18:43:53,975 2,88 18,15 12,00 4,51 6,07 4,97 2,91 0,00 0,00 0,00 0,03 0,04 0,04 3,16 7,80 0,86 22,27 17,92 10,72 4,09 0,75 0,57 0,17 0,38 14,42 4,09 2,99 8,87 2,62 0,00 0,01 0,50 0,60 0,00 33,78 26,02 107,27 49,58 5,48 5,19 1,88 4,31 0,01 0,02 0,02 0,07 0,17 0,01
18:43:56,296 2,84 17,80 11,81 4,43 5,96 4,90 2,87 0,00 0,00 0,00 0,03 0,04 0,04 2,87 7,64 0,74 21,38 17,52 10,04 3,90 0,73 0,52 0,16 0,37 13,29 3,95 2,52 8,44 2,53 0,00 0,01 0,50 0,60 0,00 40,41 53,52 249,99 53,34 8,37 7,80 2,66 5,98 0,14 0,43 0,97 1,04 1,78 0,17
18:43:58,607 2,83 17,73 11,78 4,42 5,94 4,89 2,86 0,00 0,00 0,00 0,03 0,04 0,04 2,79 7,59 0,71 21,12 17,41 9,84 3,79 0,72 0,50 0,16 0,36 13,47 3,98 2,59 8,51 2,55 0,00 0,00 0,50 0,60 0,00 48,32 109,88 581,21 57,38 12,78 8,93 2,99 6,67 0,01 0,05 0,07 0,15 0,33 0,02
18:44:00,901 2,84 17,76 11,79 4,42 5,95 4,89 2,87 0,00 0,00 0,00 0,03 0,04 0,04 2,69 7,54 0,68 20,81 17,27 9,61 3,70 0,71 0,48 0,15 0,36 13,67 4,00 2,67 8,58 2,56 0,00 0,00 0,50 0,59 0,00 19,78 3,02 8,59 39,86 1,54 5,49 1,98 4,51 0,02 0,07 0,10 0,20 0,42 0,02
18:44:03,245 2,82 17,59 11,70 4,39 5,90 4,86 2,85 0,00 0,00 0,00 0,03 0,04 0,04 2,67 7,53 0,67 20,75 17,24 9,57 3,62 0,70 0,47 0,15 0,35 13,63 4,00 2,65 8,57 2,56 0,00 0,00 0,50 0,59 0,00 24,42 7,06 23,23 43,44 2,54 4,57 1,69 3,89 0,01 0,04 0,05 0,12 0,27 0,01
18:44:05,559 2,83 17,69 11,75 4,41 5,93 4,88 2,86 0,00 0,00 0,00 0,03 0,04 0,04 2,64 7,51 0,66 20,65 17,20 9,50 3,59 0,70 0,46 0,15 0,35 13,54 3,98 2,62 8,53 2,55 0,00 0,00 0,50 0,59 0,00 23,49 6,04 19,33 42,76 2,32 4,73 1,74 4,00 0,00 0,01 0,01 0,05 0,12 0,00
18:44:07,873 2,81 17,58 11,70 4,38 5,90 4,86 2,85 0,00 0,00 0,00 0,03 0,04 0,04 2,61 7,49 0,65 20,55 17,15 9,42 3,51 0,69 0,45 0,15 0,35 13,21 3,94 2,48 8,40 2,53 0,00 0,00 0,50 0,59 0,00 33,45 25,03 102,50 49,39 5,35 7,37 2,54 5,72 0,02 0,07 0,10 0,21 0,43 0,02
18:44:10,170 2,81 17,56 11,69 4,38 5,89 4,85 2,84 0,00 0,00 0,00 0,03 0,04 0,04 2,61 7,49 0,65 20,53 17,14 9,40 3,46 0,69 0,44 0,14 0,34 13,22 3,95 2,49 8,41 2,53 0,00 0,00 0,50 0,59 0,00 16,89 1,60 4,08 37,38 1,06 5,27 1,91 4,37 0,00 0,01 0,00 0,02 0,06 0,00
18:44:12,477 2,81 17,51 11,66 4,37 5,88 4,84 2,84 0,00 0,00 0,00 0,03 0,04 0,04 2,60 7,49 0,65 20,52 17,14 9,40 3,40 0,68 0,42 0,14 0,34 13,30 3,95 2,52 8,44 2,53 0,00 0,00 0,50 0,59 0,00 26,90 10,42 36,66 45,19 3,20 8,30 2,81 6,29 0,02 0,06 0,09 0,18 0,39 0,02
