4.60,34.86,20.02,8.12,10.84,7.92,4.69||0.00,0.00,0.00,0.08,0.07,0.08||61.60,14.59,70.65,78.50,35.66,80.91||12.91,1.43,3.37,0.47,0.70||52.68,7.00,46.32,19.75,4.36||0.02,0.05,0.70,0.80,0.01||15.89,1.25,3.06,36.46,0.92||10.33,3.38,7.50||0.23,0.70,1.77,1.61,2.60,0.28||
3.10,20.15,13.02,4.96,6.66,5.35,3.14||0.00,0.00,0.00,0.04,0.04,0.04||5.33,8.71,1.87,27.81,20.23,15.31||5.51,0.89,0.90,0.22,0.44||17.62,4.44,4.57,10.04,2.83||0.00,0.01,0.53,0.62,0.00||12.17,0.43,0.87,32.70,0.49||6.30,2.22,5.03||0.09,0.30,0.62,0.75,1.33,0.11||
2.89,18.26,12.05,4.53,6.10,4.99,2.92||0.00,0.00,0.00,0.04,0.04,0.04||3.43,7.93,0.97,23.07,18.27,11.35||4.72,0.82,0.71,0.19,0.41||14.46,4.09,3.01,8.89,2.62||0.00,0.01,0.50,0.60,0.00||38.70,44.97,203.79,52.41,7.55||6.91,2.40,5.42||0.20,0.61,1.47,1.41,2.31,0.24||
2.85,17.91,11.87,4.46,5.99,4.92,2.88||0.00,0.00,0.00,0.03,0.04,0.04||3.15,7.79,0.86,22.25,17.91,10.70||4.58,0.80,0.67,0.18,0.40||14.01,4.04,2.81,8.72,2.59||0.00,0.00,0.50,0.59,0.00||48.04,107.31,565.32,57.24,12.60||6.62,2.32,5.24||0.94,2.63,9.10,5.28,7.31,1.18||
2.84,17.80,11.81,4.43,5.96,4.90,2.87||0.00,0.00,0.00,0.03,0.04,0.04||3.09,7.76,0.83,22.08,17.84,10.57||4.52,0.80,0.66,0.18,0.40||13.74,4.01,2.70,8.61,2.57||0.00,0.00,0.49,0.59,0.00||38.97,46.28,210.77,52.56,7.68||7.29,2.51,5.66||0.35,1.05,2.92,2.31,3.57,0.44||
2.84,17.78,11.80,4.43,5.96,4.90,2.87||0.00,0.00,0.00,0.03,0.04,0.04||3.08,7.76,0.83,22.05,17.82,10.55||4.51,0.80,0.66,0.18,0.40||13.68,4.00,2.68,8.59,2.56||0.00,0.00,0.49,0.59,0.00||37.70,40.50,180.23,51.85,7.10||7.18,2.48,5.59||0.29,0.87,2.31,1.95,3.08,0.36||
2.84,17.77,11.80,4.43,5.95,4.90,2.87||0.00,0.00,0.00,0.03,0.04,0.04||3.08,7.76,0.83,22.05,17.82,10.54||4.51,0.80,0.66,0.18,0.40||13.76,4.01,2.71,8.62,2.57||0.00,0.00,0.49,0.59,0.00||43.60,72.69,357.95,55.02,10.02||7.61,2.61,5.87||0.39,1.15,3.27,2.51,3.83,0.48||
2.84,17.77,11.80,4.43,5.95,4.90,2.87||0.00,0.00,0.00,0.03,0.04,0.04||3.08,7.76,0.83,22.04,17.82,10.54||4.51,0.80,0.66,0.18,0.40||13.87,4.02,2.75,8.66,2.58||0.00,0.00,0.49,0.59,0.00||46.56,94.65,487.91,56.52,11.70||6.12,2.17,4.92||0.59,1.70,5.29,3.56,5.19,0.74||
2.84,17.81,11.82,4.43,5.97,4.90,2.87||0.00,0.00,0.00,0.03,0.04,0.04||3.08,7.76,0.83,22.04,17.82,10.54||4.51,0.80,0.66,0.18,0.40||13.89,4.03,2.76,8.67,2.58||0.00,0.00,0.50,0.59,0.00||33.40,24.88,101.75,49.36,5.33||6.71,2.34,5.30||0.21,0.66,1.62,1.51,2.46,0.26||
2.84,17.82,11.82,4.44,5.97,4.90,2.87||0.00,0.00,0.00,0.03,0.04,0.04||3.03,7.73,0.81,21.87,17.74,10.41||4.51,0.80,0.66,0.18,0.40||13.80,4.02,2.73,8.64,2.57||0.00,0.00,0.50,0.59,0.00||46.13,91.17,466.90,56.30,11.45||5.91,2.10,4.79||0.89,2.50,8.56,5.05,7.03,1.12||
2.84,17.78,11.80,4.43,5.96,4.90,2.87||0.00,0.00,0.00,0.03,0.04,0.04||3.04,7.73,0.81,21.92,17.77,10.45||4.51,0.80,0.66,0.18,0.40||13.79,4.01,2.72,8.63,2.57||0.00,0.00,0.50,0.59,0.00||62.02,299.90,1887.41,63.52,23.06||5.93,2.11,4.80||0.38,1.12,3.16,2.45,3.75,0.47||
2.84,17.77,11.80,4.43,5.95,4.90,2.87||0.00,0.00,0.00,0.03,0.04,0.04||2.99,7.71,0.79,21.76,17.70,10.33||4.51,0.80,0.66,0.18,0.40||13.87,4.02,2.75,8.66,2.58||0.00,0.00,0.50,0.59,0.00||37.75,40.72,181.40,51.88,7.13||7.11,2.46,5.55||1.43,3.87,14.73,7.49,9.90,1.79||
2.84,17.77,11.80,4.43,5.95,4.90,2.87||0.00,0.00,0.00,0.03,0.04,0.04||3.01,7.72,0.80,21.82,17.72,10.37||4.51,0.80,0.66,0.18,0.40||13.80,4.02,2.72,8.64,2.57||0.00,0.00,0.50,0.59,0.00||37.17,38.24,168.48,51.55,6.87||5.14,1.87,4.28||0.15,0.47,1.06,1.11,1.89,0.18||
2.84,17.77,11.80,4.43,5.95,4.90,2.87||0.00,0.00,0.00,0.03,0.04,0.04||2.98,7.70,0.79,21.74,17.69,10.31||4.51,0.80,0.66,0.18,0.40||13.79,4.01,2.72,8.63,2.57||0.00,0.00,0.50,0.59,0.00||53.92,170.81,975.21,60.00,16.56||5.42,1.95,4.46||0.57,1.63,5.04,3.44,5.03,0.71||
