4.61,34.95,20.07,8.14,10.86,7.93,4.70||0.00,0.00,0.00,0.09,0.07,0.08||61.61,14.59,70.66,78.50,35.66,80.91||12.91,1.43,3.37,0.47,0.70||56.22,7.19,53.14,20.55,4.47||0.02,0.05,0.70,0.82,0.01||31.79,20.38,80.55,48.37,4.74||7.63,2.62,5.88||0.40,1.18,3.38,2.57,3.91,0.50||
3.11,20.20,13.05,4.97,6.67,5.36,3.15||0.00,0.00,0.00,0.04,0.04,0.05||5.33,8.71,1.86,27.82,20.23,15.31||5.55,0.88,0.91,0.22,0.44||18.34,4.52,4.97,10.29,2.88||0.00,0.01,0.53,0.63,0.00||52.83,157.26,885.13,59.50,15.78||5.00,1.83,4.18||0.26,0.78,2.02,1.77,2.83,0.32||
2.91,18.30,12.07,4.55,6.11,5.00,2.93||0.00,0.00,0.00,0.04,0.04,0.04||3.43,7.93,0.97,23.07,18.27,11.35||4.74,0.82,0.71,0.19,0.41||14.86,4.14,3.19,9.04,2.66||0.00,0.01,0.50,0.61,0.00||58.79,241.85,1466.45,62.15,20.32||6.98,2.42,5.47||0.20,0.63,1.53,1.45,2.37,0.25||
2.85,17.92,11.86,4.46,6.00,4.92,2.88||0.00,0.00,0.00,0.03,0.04,0.04||3.15,7.79,0.86,22.25,17.91,10.70||4.55,0.80,0.67,0.18,0.40||14.27,4.07,2.92,8.82,2.61||0.00,0.01,0.50,0.61,0.00||70.84,511.82,3533.37,67.06,31.58||6.70,2.34,5.29||1.12,3.08,11.07,6.08,8.27,1.40||
2.84,17.84,11.83,4.44,5.97,4.91,2.88||0.00,0.00,0.00,0.03,0.04,0.04||3.09,7.76,0.83,22.08,17.84,10.57||4.51,0.80,0.66,0.18,0.40||14.27,4.07,2.93,8.82,2.61||0.00,0.01,0.51,0.61,0.00||97.52,1851.82,15971.09,76.40,67.29||5.75,2.05,4.68||2.77,7.20,31.88,13.11,16.12,3.51||
2.84,17.82,11.82,4.44,5.97,4.91,2.86||0.00,0.00,0.00,0.03,0.04,0.04||3.08,7.76,0.83,22.05,17.82,10.55||4.51,0.80,0.66,0.18,0.40||14.03,4.04,2.82,8.72,2.59||0.00,0.01,0.51,0.61,0.00||86.97,1168.38,9304.66,72.92,51.32||4.42,1.64,3.78||0.40,1.17,3.32,2.55,3.86,0.49||
2.84,17.82,11.82,4.44,5.97,4.91,2.86||0.00,0.00,0.00,0.03,0.04,0.04||3.08,7.76,0.83,22.05,17.82,10.55||4.50,0.80,0.66,0.18,0.40||14.10,4.05,2.85,8.75,2.59||0.00,0.01,0.51,0.61,0.00||99.36,1996.43,17443.88,76.98,70.33||5.33,1.93,4.40||0.36,1.06,2.95,2.33,3.59,0.44||
2.84,17.82,11.82,4.44,5.97,4.91,2.86||0.00,0.00,0.00,0.03,0.04,0.04||3.08,7.76,0.83,22.04,17.82,10.55||4.50,0.80,0.66,0.18,0.40||14.12,4.05,2.86,8.76,2.59||0.00,0.01,0.51,0.61,0.00||163.14,14671.02,181037.50,94.24,227.33||5.23,1.91,4.34||27.79,62.12,464.79,91.59,87.44,36.09||
2.83,17.74,11.78,4.42,5.95,4.88,2.86||0.00,0.00,0.00,0.03,0.04,0.04||3.08,7.76,0.83,22.04,17.82,10.55||4.50,0.80,0.66,0.18,0.40||14.24,4.07,2.91,8.82,2.61||0.00,0.01,0.51,0.61,0.00||122.47,4630.12,46796.39,83.84,115.36||4.86,1.78,4.09||3.50,8.95,41.80,15.95,19.12,4.44||
2.84,17.77,11.80,4.42,5.95,4.88,2.86||0.00,0.00,0.00,0.03,0.04,0.04||3.08,7.76,0.83,22.04,17.82,10.55||4.50,0.80,0.66,0.18,0.40||14.15,4.06,2.86,8.77,2.61||0.00,0.01,0.51,0.61,0.00||87.46,1195.19,9555.61,73.08,52.01||4.86,1.78,4.09||9.75,23.33,137.49,37.85,40.55,12.51||
2.83,17.73,11.78,4.42,5.94,4.88,2.86||0.00,0.00,0.00,0.03,0.04,0.04||3.08,7.76,0.83,22.04,17.82,10.55||4.50,0.80,0.66,0.18,0.40||14.13,4.06,2.86,8.76,2.61||0.00,0.01,0.51,0.61,0.00||120.18,4291.37,42806.01,83.19,110.32||4.82,1.77,4.06||104.58,214.37,2168.50,280.00,231.10,137.78||
2.84,17.80,11.82,4.43,5.96,4.91,2.86||0.00,0.00,0.00,0.03,0.04,0.04||3.08,7.76,0.83,22.04,17.82,10.55||4.50,0.80,0.66,0.18,0.40||14.25,4.07,2.91,8.82,2.61||0.00,0.01,0.51,0.61,0.00||88.37,1245.97,10033.64,73.39,53.30||4.71,1.73,3.98||1.19,3.28,11.97,6.44,8.69,1.50||
