14:47:59,329 4,57 34,58 19,90 8,06 10,76 7,87 4,66 0,00 0,00 0,00 0,08 0,07 0,08 58,71 14,44 65,78 76,91 35,26 78,30 12,86 1,43 3,35 0,47 0,70 54,01 7,07 48,83 20,05 4,40 0,02 0,05 0,70 0,80 0,01 1,43 0,00 0,00 13,66 0,00 3,13 1,23 2,87 0,00 0,00 0,00 0,00 0,00 0,00
14:48:01,639 3,10 20,12 13,00 4,95 6,65 5,35 3,14 0,00 0,00 0,00 0,04 0,04 0,04 5,03 8,60 1,72 27,13 19,96 14,71 5,53 0,89 0,90 0,22 0,44 17,82 4,47 4,68 10,11 2,84 0,00 0,01 0,53 0,63 0,00 1,18 0,00 0,00 12,61 0,00 1,49 0,65 1,58 0,00 0,00 0,00 0,00 0,00 0,00
14:48:03,938 2,89 18,21 12,03 4,52 6,08 4,98 2,92 0,00 0,00 0,00 0,03 0,04 0,04 3,23 7,83 0,89 22,50 18,02 10,89 4,75 0,82 0,71 0,19 0,41 14,51 4,10 3,03 8,91 2,62 0,00 0,01 0,50 0,60 0,00 1,16 0,00 0,00 12,52 0,00 1,30 0,58 1,41 0,00 0,00 0,00 0,00 0,00 0,00
14:48:06,276 2,84 17,82 11,82 4,44 5,97 4,90 2,87 0,00 0,00 0,00 0,03 0,04 0,04 2,97 7,69 0,78 21,69 17,66 10,27 4,61 0,81 0,68 0,19 0,40 14,11 4,05 2,86 8,76 2,59 0,00 0,00 0,50 0,59 0,00 1,10 0,00 0,00 12,28 0,00 1,90 0,80 1,92 0,00 0,00 0,00 0,00 0,00 0,00
14:48:08,585 2,83 17,74 11,78 4,42 5,94 4,89 2,86 0,00 0,00 0,00 0,03 0,04 0,04 2,91 7,67 0,76 21,53 17,59 10,15 4,58 0,80 0,67 0,18 0,40 13,95 4,03 2,79 8,69 2,58 0,00 0,00 0,50 0,59 0,00 0,98 0,00 0,00 11,71 0,00 1,23 0,56 1,36 0,00 0,00 0,00 0,00 0,00 0,00
14:48:10,904 2,82 17,65 11,73 4,40 5,92 4,87 2,85 0,00 0,00 0,00 0,03 0,04 0,04 2,90 7,66 0,76 21,50 17,58 10,13 4,58 0,80 0,67 0,18 0,40 14,00 4,04 2,81 8,71 2,59 0,00 0,00 0,50 0,59 0,00 1,18 0,00 0,00 12,62 0,00 1,22 0,55 1,34 0,00 0,00 0,00 0,00 0,00 0,00
14:48:13,203 2,83 17,71 11,76 4,41 5,93 4,88 2,86 0,00 0,00 0,00 0,03 0,04 0,04 2,90 7,66 0,76 21,49 17,57 10,12 4,56 0,80 0,67 0,18 0,40 13,93 4,03 2,78 8,68 2,58 0,00 0,00 0,50 0,59 0,00 1,50 0,00 0,00 13,94 0,00 1,34 0,60 1,45 0,00 0,00 0,00 0,00 0,00 0,00
14:48:15,502 2,82 17,64 11,73 4,40 5,91 4,87 2,85 0,00 0,00 0,00 0,03 0,04 0,04 2,90 7,66 0,76 21,49 17,57 10,12 4,54 0,80 0,66 0,18 0,40 14,00 4,04 2,81 8,71 2,59 0,00 0,00 0,50 0,59 0,00 1,18 0,00 0,00 12,63 0,00 1,87 0,79 1,90 0,00 0,00 0,00 0,00 0,00 0,00
14:48:17,825 2,83 17,70 11,76 4,41 5,93 4,88 2,86 0,00 0,00 0,00 0,03 0,04 0,04 2,90 7,66 0,76 21,49 17,57 10,12 4,54 0,80 0,66 0,18 0,40 13,92 4,03 2,78 8,68 2,58 0,00 0,00 0,50 0,59 0,00 0,99 0,00 0,00 11,77 0,00 1,50 0,65 1,58 0,00 0,00 0,00 0,00 0,00 0,00
14:48:20,134 2,82 17,60 11,71 4,39 5,90 4,86 2,85 0,00 0,00 0,00 0,03 0,04 0,04 2,90 7,66 0,76 21,49 17,57 10,12 4,55 0,80 0,67 0,18 0,40 13,82 4,02 2,73 8,65 2,57 0,00 0,00 0,49 0,59 0,00 1,04 0,00 0,00 11,97 0,00 1,49 0,65 1,58 0,00 0,00 0,00 0,00 0,00 0,00
14:48:22,450 2,83 17,70 11,76 4,41 5,93 4,88 2,86 0,00 0,00 0,00 0,03 0,04 0,04 2,90 7,66 0,76 21,49 17,57 10,12 4,54 0,80 0,66 0,18 0,40 13,80 4,02 2,73 8,64 2,57 0,00 0,00 0,50 0,59 0,00 0,86 0,00 0,00 11,08 0,00 1,35 0,60 1,46 0,00 0,00 0,00 0,00 0,00 0,00
14:48:24,764 2,82 17,60 11,71 4,39 5,90 4,86 2,85 0,00 0,00 0,00 0,03 0,04 0,04 2,90 7,66 0,76 21,49 17,57 10,12 4,54 0,80 0,66 0,18 0,40 13,97 4,04 2,80 8,70 2,58 0,00 0,00 0,50 0,59 0,00 1,26 0,00 0,00 12,97 0,00 1,84 0,78 1,87 0,00 0,00 0,00 0,00 0,00 0,00
14:48:27,076 2,81 17,58 11,70 4,38 5,90 4,86 2,85 0,00 0,00 0,00 0,03 0,04 0,04 2,87 7,64 0,75 21,40 17,53 10,05 4,50 0,79 0,66 0,18 0,40 13,83 4,02 2,74 8,65 2,57 0,00 0,00 0,50 0,59 0,00 0,77 0,00 0,00 10,59 0,00 1,26 0,56 1,38 0,00 0,00 0,00 0,00 0,00 0,00
14:48:29,380 2,82 17,65 11,74 4,40 5,92 4,87 2,85 0,00 0,00 0,00 0,03 0,04 0,04 2,90 7,65 0,76 21,47 17,57 10,11 4,51 0,80 0,66 0,18 0,40 13,81 4,02 2,73 8,64 2,57 0,00 0,00 0,50 0,59 0,00 1,96 0,00 0,00 15,52 0,01 1,88 0,79 1,90 0,00 0,00 0,00 0,00 0,00 0,00
14:48:31,685 2,82 17,63 11,72 4,39 5,91 4,87 2,85 0,00 0,00 0,00 0,03 0,04 0,04 2,87 7,64 0,75 21,40 17,53 10,05 4,53 0,80 0,66 0,18 0,40 13,80 4,02 2,72 8,64 2,57 0,00 0,00 0,49 0,59 0,00 2,19 0,00 0,00 16,24 0,01 1,59 0,69 1,67 0,00 0,00 0,00 0,00 0,00 0,00
14:48:34,006 2,83 17,70 11,76 4,41 5,93 4,88 2,86 0,00 0,00 0,00 0,03 0,04 0,04 2,87 7,64 0,75 21,38 17,53 10,04 4,50 0,79 0,66 0,18 0,40 13,97 4,04 2,80 8,70 2,58 0,00 0,00 0,50 0,59 0,00 1,99 0,00 0,00 15,64 0,01 1,56 0,68 1,63 0,00 0,00 0,00 0,00 0,00 0,00
14:48:36,338 2,82 17,60 11,71 4,39 5,90 4,86 2,85 0,00 0,00 0,00 0,03 0,04 0,04 2,81 7,61 0,72 21,21 17,45 9,91 4,48 0,79 0,65 0,18 0,40 13,92 4,03 2,77 8,68 2,58 0,00 0,00 0,49 0,59 0,00 2,29 0,00 0,00 16,56 0,01 1,86 0,79 1,89 0,00 0,00 0,00 0,00 0,00 0,00
14:48:38,616 2,82 17,66 11,74 4,40 5,92 4,87 2,85 0,00 0,00 0,00 0,03 0,04 0,04 2,80 7,60 0,72 21,17 17,43 9,88 4,48 0,79 0,65 0,18 0,39 13,91 4,03 2,77 8,68 2,58 0,00 0,00 0,50 0,59 0,00 0,88 0,00 0,00 11,21 0,00 1,41 0,62 1,51 0,00 0,00 0,00 0,00 0,00 0,00
14:48:40,950 2,82 17,59 11,70 4,38 5,90 4,86 2,85 0,00 0,00 0,00 0,03 0,04 0,04 2,80 7,60 0,72 21,16 17,43 9,88 4,48 0,79 0,65 0,18 0,39 13,82 4,02 2,73 8,64 2,57 0,00 0,00 0,50 0,59 0,00 1,21 0,00 0,00 12,74 0,00 1,29 0,58 1,40 0,00 0,00 0,00 0,00 0,00 0,00
14:48:48,380 2,81 17,58 11,70 4,38 5,90 4,86 2,85 0,00 0,00 0,00 0,03 0,04 0,04 2,80 7,60 0,72 21,16 17,43 9,88 4,48 0,79 0,65 0,18 0,39 13,89 4,03 2,76 8,67 2,58 0,00 0,00 0,50 0,59 0,00 1,83 0,00 0,00 15,10 0,01 1,96 0,82 1,97 0,00 0,00 0,00 0,00 0,00 0,00
14:48:48,380 2,81 17,57 11,69 4,38 5,89 4,86 2,84 0,00 0,00 0,00 0,03 0,04 0,04 2,77 7,58 0,71 21,08 17,39 9,81 4,48 0,79 0,65 0,18 0,39 13,82 4,02 2,73 8,64 2,57 0,00 0,00 0,49 0,59 0,00 1,71 0,00 0,00 14,67 0,00 1,30 0,58 1,41 0,00 0,00 0,00 0,00 0,00 0,00
14:48:48,380 2,81 17,57 11,69 4,38 5,89 4,86 2,84 0,00 0,00 0,00 0,03 0,04 0,04 2,74 7,57 0,70 20,97 17,34 9,73 4,48 0,79 0,65 0,18 0,39 13,80 4,02 2,73 8,64 2,57 0,00 0,00 0,49 0,59 0,00 2,10 0,00 0,00 15,99 0,01 1,86 0,79 1,88 0,00 0,00 0,00 0,00 0,00 0,00
14:48:58,413 2,81 17,57 11,69 4,38 5,89 4,86 2,84 0,00 0,00 0,00 0,03 0,04 0,04 2,73 7,56 0,69 20,95 17,33 9,72 4,48 0,79 0,65 0,18 0,39 13,80 4,02 2,72 8,64 2,57 0,00 0,00 0,49 0,59 0,00 1,72 0,00 0,00 14,72 0,00 1,39 0,61 1,49 0,00 0,00 0,00 0,00 0,00 0,00
14:48:58,413 2,81 17,57 11,69 4,38 5,89 4,86 2,84 0,00 0,00 0,00 0,03 0,04 0,04 2,73 7,56 0,69 20,95 17,33 9,72 4,48 0,79 0,65 0,18 0,39 13,88 4,03 2,76 8,67 2,58 0,00 0,00 0,50 0,59 0,00 2,07 0,00 0,00 15,89 0,01 1,87 0,79 1,89 0,00 0,00 0,00 0,00 0,00 0,00
14:48:58,413 2,81 17,57 11,69 4,38 5,89 4,86 2,84 0,00 0,00 0,00 0,03 0,04 0,04 2,73 7,56 0,69 20,95 17,33 9,71 4,48 0,79 0,65 0,18 0,39 13,82 4,02 2,73 8,64 2,57 0,00 0,00 0,49 0,59 0,00 1,22 0,00 0,00 12,78 0,00 1,45 0,64 1,54 0,00 0,00 0,00 0,00 0,00 0,00
14:48:58,413 2,81 17,57 11,69 4,38 5,89 4,86 2,84 0,00 0,00 0,00 0,03 0,04 0,04 2,73 7,56 0,69 20,95 17,33 9,71 4,48 0,79 0,65 0,18 0,39 13,80 4,02 2,73 8,64 2,57 0,00 0,00 0,49 0,59 0,00 1,70 0,00 0,00 14,64 0,00 1,90 0,80 1,92 0,00 0,00 0,00 0,00 0,00 0,00
14:49:08,996 2,81 17,57 11,69 4,38 5,89 4,86 2,84 0,00 0,00 0,00 0,03 0,04 0,04 2,73 7,56 0,69 20,95 17,33 9,71 4,48 0,79 0,65 0,18 0,39 13,80 4,02 2,72 8,64 2,57 0,00 0,00 0,49 0,59 0,00 1,36 0,00 0,00 13,40 0,00 1,39 0,61 1,49 0,00 0,00 0,00 0,00 0,00 0,00
14:49:08,996 2,85 17,93 11,88 4,46 6,00 4,93 2,89 0,00 0,00 0,00 0,03 0,04 0,04 2,87 7,64 0,74 21,38 17,52 10,04 5,54 0,89 0,91 0,22 0,44 14,15 4,06 2,87 8,77 2,60 0,00 0,00 0,49 0,59 0,00 1,29 0,00 0,00 13,11 0,00 1,88 0,79 1,90 0,00 0,00 0,00 0,00 0,00 0,00
