18:11:50,804 4,54 34,26 19,75 8,00 10,68 7,82 4,63 0,00 0,00 0,00 0,08 0,07 0,08 54,05 14,19 58,18 74,26 34,59 74,02 10,62 1,28 2,49 0,39 0,63 52,83 7,00 46,59 19,78 4,36 0,02 0,05 0,70 0,81 0,01 31,19 18,89 73,69 48,00 4,54 10,98 3,56 7,88 2,53 6,62 28,69 12,14 15,08 3,20
18:11:53,121 3,08 19,89 12,89 4,90 6,58 5,30 3,11 0,00 0,00 0,00 0,04 0,04 0,04 4,68 8,47 1,54 26,31 19,63 14,00 4,49 0,79 0,65 0,18 0,40 17,55 4,44 4,53 10,02 2,83 0,00 0,01 0,53 0,63 0,00 19,82 3,05 8,67 39,89 1,55 8,49 2,86 6,41 0,43 1,27 3,68 2,74 4,13 0,54
18:11:55,434 2,86 17,99 11,91 4,48 6,02 4,94 2,89 0,00 0,00 0,00 0,03 0,04 0,04 2,93 7,67 0,77 21,56 17,61 10,18 3,79 0,72 0,50 0,16 0,36 14,05 4,05 2,83 8,73 2,59 0,00 0,01 0,50 0,60 0,00 18,10 2,12 5,66 38,45 1,25 5,47 1,97 4,49 0,27 0,82 2,13 1,84 2,93 0,33
18:11:57,755 2,82 17,60 11,71 4,39 5,90 4,86 2,85 0,00 0,00 0,00 0,03 0,04 0,04 2,62 7,49 0,65 20,57 17,16 9,44 3,60 0,70 0,46 0,15 0,35 13,45 3,97 2,58 8,50 2,55 0,00 0,00 0,50 0,59 0,00 20,63 3,58 10,47 40,55 1,71 6,29 2,22 5,03 0,58 1,66 5,15 3,49 5,10 0,72
18:12:00,041 2,81 17,52 11,67 4,37 5,88 4,85 2,84 0,00 0,00 0,00 0,03 0,04 0,04 2,56 7,46 0,63 20,38 17,07 9,30 3,51 0,69 0,45 0,15 0,35 13,41 3,97 2,57 8,49 2,54 0,00 0,00 0,50 0,59 0,00 23,24 5,78 18,38 42,57 2,26 5,18 1,88 4,31 0,40 1,19 3,39 2,58 3,92 0,50
18:12:02,381 2,80 17,46 11,64 4,36 5,86 4,84 2,83 0,00 0,00 0,00 0,03 0,04 0,04 2,53 7,44 0,62 20,26 17,02 9,21 3,45 0,68 0,43 0,14 0,34 13,49 3,98 2,59 8,51 2,55 0,00 0,00 0,50 0,59 0,00 28,48 13,10 47,95 46,25 3,66 6,36 2,24 5,07 75,26 157,64 1479,56 212,18 181,56 98,81
18:12:04,694 2,80 17,45 11,63 4,35 5,86 4,83 2,83 0,00 0,00 0,00 0,03 0,04 0,04 2,49 7,42 0,61 20,15 16,97 9,13 3,39 0,68 0,42 0,14 0,34 13,34 3,96 2,54 8,46 2,54 0,00 0,00 0,50 0,59 0,00 22,53 5,10 15,86 42,03 2,10 6,35 2,24 5,07 0,06 0,19 0,34 0,49 0,92 0,07
18:12:07,000 2,80 17,45 11,63 4,35 5,86 4,83 2,83 0,00 0,00 0,00 0,03 0,04 0,04 2,42 7,37 0,58 19,89 16,85 8,94 3,36 0,67 0,42 0,14 0,34 13,15 3,94 2,46 8,38 2,52 0,00 0,00 0,50 0,59 0,00 22,72 5,28 16,51 42,18 2,14 4,37 1,63 3,75 0,07 0,22 0,42 0,57 1,05 0,08
18:12:09,325 2,80 17,49 11,65 4,36 5,87 4,84 2,84 0,00 0,00 0,00 0,03 0,04 0,04 2,40 7,36 0,57 19,84 16,82 8,90 3,30 0,67 0,40 0,14 0,33 13,19 3,94 2,48 8,40 2,53 0,00 0,00 0,50 0,59 0,00 26,45 9,73 33,83 44,87 3,07 4,83 1,77 4,07 0,03 0,11 0,18 0,31 0,62 0,04
18:12:11,633 2,79 17,38 11,59 4,34 5,84 4,82 2,82 0,00 0,00 0,00 0,03 0,04 0,04 2,38 7,34 0,56 19,75 16,78 8,84 3,23 0,66 0,39 0,13 0,33 13,12 3,93 2,45 8,37 2,52 0,00 0,00 0,49 0,59 0,00 30,96 18,32 71,07 47,85 4,45 6,18 2,19 4,96 0,11 0,34 0,73 0,84 1,48 0,13
18:12:13,925 2,79 17,39 11,60 4,34 5,84 4,82 2,82 0,00 0,00 0,00 0,03 0,04 0,04 2,35 7,32 0,55 19,65 16,74 8,77 3,21 0,66 0,39 0,13 0,33 13,03 3,92 2,41 8,34 2,51 0,00 0,00 0,49 0,59 0,00 34,54 28,45 119,13 50,03 5,77 7,31 2,52 5,68 1,58 4,25 16,54 8,14 10,65 1,98
