12:52:40,080 4,44 33,16 19,25 7,77 10,37 7,64 4,52 0,00 0,00 0,00 0,06 0,06 0,06 45,00 13,65 44,33 68,71 33,16 65,34 8,02 1,10 1,61 0,31 0,54 50,89 6,90 43,05 19,33 4,30 0,02 0,05 0,69 0,80 0,01 27,97 12,18 44,04 45,91 3,50 16,32 4,99 10,84 0,20 0,62 1,51 1,43 2,35 0,25
12:52:42,417 3,00 19,25 12,56 4,76 6,39 5,18 3,04 0,00 0,00 0,00 0,03 0,03 0,04 3,82 8,11 1,14 24,14 18,73 12,20 3,35 0,67 0,42 0,14 0,34 16,80 4,36 4,13 9,75 2,78 0,00 0,01 0,52 0,62 0,00 24,92 7,66 25,55 43,80 2,67 14,27 4,45 9,73 0,55 1,59 4,86 3,35 4,92 0,68
12:52:44,736 2,80 17,41 11,61 4,35 5,85 4,83 2,83 0,00 0,00 0,00 0,03 0,03 0,03 2,38 7,35 0,57 19,77 16,79 8,85 2,81 0,61 0,32 0,12 0,31 13,68 4,00 2,67 8,59 2,56 0,00 0,00 0,50 0,59 0,00 23,35 5,89 18,78 42,65 2,29 7,83 2,67 6,00 0,28 0,84 2,20 1,89 2,99 0,34
12:52:47,025 2,75 17,03 11,41 4,26 5,73 4,75 2,78 0,00 0,00 0,00 0,03 0,03 0,03 2,15 7,19 0,49 18,93 16,40 8,26 2,64 0,59 0,29 0,11 0,30 12,98 3,92 2,39 8,32 2,51 0,00 0,00 0,49 0,59 0,00 26,04 9,13 31,42 44,59 2,96 7,68 2,63 5,91 0,16 0,50 1,14 1,17 1,97 0,19
12:52:49,337 2,73 16,84 11,31 4,22 5,68 4,71 2,76 0,00 0,00 0,00 0,02 0,03 0,03 2,05 7,12 0,45 18,55 16,22 7,99 2,56 0,58 0,27 0,11 0,29 12,85 3,90 2,34 8,26 2,50 0,00 0,00 0,49 0,59 0,00 23,99 6,57 21,34 43,12 2,44 11,21 3,63 8,01 0,69 1,96 6,32 4,05 5,81 0,86
12:52:51,659 2,72 16,72 11,25 4,19 5,64 4,69 2,74 0,00 0,00 0,00 0,02 0,03 0,03 2,01 7,09 0,44 18,40 16,15 7,89 2,49 0,57 0,26 0,11 0,29 12,82 3,90 2,33 8,25 2,50 0,00 0,00 0,49 0,59 0,00 20,26 3,33 9,61 40,25 1,63 9,30 3,09 6,89 0,65 1,86 5,94 3,87 5,58 0,81
12:52:53,970 2,72 16,78 11,28 4,20 5,66 4,70 2,75 0,00 0,00 0,00 0,02 0,03 0,03 1,91 7,01 0,41 18,01 15,96 7,62 2,43 0,56 0,25 0,10 0,28 12,97 3,91 2,39 8,31 2,51 0,00 0,00 0,49 0,58 0,00 34,68 28,94 121,51 50,12 5,83 6,76 2,36 5,33 0,16 0,49 1,13 1,16 1,95 0,19
12:52:56,297 2,72 16,75 11,26 4,20 5,65 4,69 2,75 0,00 0,00 0,00 0,02 0,03 0,03 1,89 7,00 0,40 17,93 15,92 7,57 2,38 0,56 0,24 0,10 0,28 12,61 3,87 2,25 8,17 2,48 0,00 0,00 0,49 0,58 0,00 13,94 0,74 1,65 34,56 0,68 6,81 2,37 5,36 0,15 0,48 1,10 1,14 1,93 0,19
12:52:58,590 2,70 16,59 11,17 4,16 5,60 4,66 2,73 0,00 0,00 0,00 0,02 0,03 0,03 1,84 6,95 0,38 17,70 15,81 7,42 2,33 0,55 0,24 0,10 0,28 12,77 3,89 2,31 8,23 2,49 0,00 0,00 0,49 0,58 0,00 22,01 4,65 14,22 41,64 1,99 8,26 2,80 6,27 0,15 0,48 1,10 1,14 1,92 0,19
12:53:00,913 2,70 16,55 11,16 4,15 5,59 4,65 2,72 0,00 0,00 0,00 0,02 0,03 0,03 1,79 6,92 0,37 17,52 15,72 7,29 2,29 0,55 0,23 0,10 0,27 12,73 3,88 2,30 8,22 2,49 0,00 0,00 0,49 0,58 0,00 21,22 4,01 11,96 41,02 1,82 8,32 2,81 6,30 0,16 0,50 1,15 1,17 1,98 0,19
12:53:03,242 2,69 16,55 11,15 4,15 5,59 4,65 2,72 0,00 0,00 0,00 0,02 0,03 0,03 1,77 6,90 0,36 17,41 15,67 7,22 2,24 0,54 0,22 0,10 0,27 12,57 3,86 2,24 8,15 2,48 0,00 0,00 0,49 0,58 0,00 20,47 3,47 10,11 40,43 1,68 10,04 3,30 7,33 0,34 1,01 2,78 2,23 3,46 0,42
12:53:05,558 2,69 16,55 11,15 4,15 5,59 4,65 2,72 0,00 0,00 0,00 0,02 0,03 0,03 1,73 6,87 0,35 17,25 15,59 7,11 2,21 0,53 0,22 0,10 0,27 12,54 3,86 2,22 8,14 2,48 0,00 0,00 0,49 0,58 0,00 11,75 0,37 0,73 32,23 0,45 9,50 3,15 7,01 0,45 1,32 3,85 2,83 4,25 0,56
12:53:07,869 2,69 16,47 11,11 4,13 5,56 4,64 2,71 0,00 0,00 0,00 0,02 0,03 0,03 1,69 6,83 0,34 17,08 15,50 7,00 2,18 0,53 0,21 0,09 0,27 12,45 3,85 2,19 8,11 2,47 0,00 0,00 0,49 0,58 0,00 30,91 18,22 70,61 47,82 4,44 9,42 3,13 6,97 0,50 1,46 4,38 3,10 4,61 0,62
12:53:10,182 2,67 16,37 11,06 4,11 5,54 4,62 2,70 0,00 0,00 0,00 0,02 0,03 0,03 1,65 6,80 0,33 16,91 15,42 6,89 2,13 0,52 0,21 0,09 0,26 12,36 3,84 2,16 8,07 2,46 0,00 0,00 0,49 0,58 0,00 35,13 30,47 129,08 50,38 6,01 7,82 2,67 6,00 0,31 0,93 2,51 2,07 3,24 0,38
12:53:12,479 2,66 16,28 11,01 4,09 5,51 4,60 2,69 0,00 0,00 0,00 0,02 0,03 0,03 1,63 6,78 0,32 16,81 15,37 6,83 2,12 0,52 0,20 0,09 0,26 12,27 3,83 2,12 8,03 2,46 0,00 0,00 0,48 0,58 0,00 17,78 1,97 5,19 38,16 1,20 7,82 2,67 6,00 0,20 0,62 1,52 1,44 2,36 0,25
12:53:14,782 2,66 16,26 11,00 4,08 5,50 4,59 2,69 0,00 0,00 0,00 0,02 0,03 0,03 1,59 6,75 0,31 16,66 15,29 6,73 2,08 0,52 0,20 0,09 0,26 12,33 3,83 2,14 8,05 2,46 0,00 0,00 0,48 0,58 0,00 28,25 12,69 46,19 46,10 3,59 10,48 3,42 7,59 0,76 2,14 7,06 4,39 6,23 0,95
12:53:17,102 2,65 16,18 10,96 4,07 5,48 4,58 2,68 0,00 0,00 0,00 0,02 0,03 0,03 1,56 6,71 0,30 16,50 15,21 6,62 2,06 0,51 0,20 0,09 0,26 12,19 3,81 2,09 8,00 2,45 0,00 0,00 0,48 0,58 0,00 19,74 3,00 8,52 39,83 1,54 11,76 3,78 8,33 0,74 2,09 6,83 4,29 6,10 0,92
12:53:19,435 2,64 16,09 10,91 4,05 5,45 4,56 2,67 0,00 0,00 0,00 0,02 0,03 0,03 1,55 6,71 0,30 16,46 15,19 6,60 2,03 0,51 0,19 0,09 0,26 12,16 3,81 2,08 7,99 2,45 0,00 0,00 0,48 0,58 0,00 40,82 55,73 262,14 53,56 8,57 13,78 4,32 9,46 0,60 1,72 5,36 3,60 5,23 0,74
12:53:21,744 2,64 16,07 10,90 4,04 5,44 4,56 2,67 0,00 0,00 0,00 0,02 0,03 0,03 1,52 6,68 0,29 16,33 15,13 6,51 2,01 0,51 0,19 0,09 0,26 12,16 3,81 2,08 7,99 2,45 0,00 0,00 0,48 0,58 0,00 37,52 39,71 176,15 51,75 7,02 12,54 3,99 8,76 1,39 3,77 14,25 7,31 9,70 1,74
12:53:24,050 2,64 16,07 10,90 4,04 5,44 4,56 2,66 0,00 0,00 0,00 0,02 0,03 0,03 1,50 6,66 0,28 16,23 15,08 6,45 1,98 0,50 0,18 0,09 0,25 12,15 3,81 2,08 7,98 2,45 0,00 0,00 0,48 0,58 0,00 59,80 258,96 1588,88 62,59 21,16 11,36 3,67 8,09 0,65 1,85 5,87 3,84 5,54 0,81
12:53:26,376 2,64 16,06 10,90 4,04 5,44 4,56 2,66 0,00 0,00 0,00 0,02 0,03 0,03 1,47 6,63 0,28 16,09 15,00 6,36 1,98 0,50 0,18 0,09 0,25 12,15 3,81 2,08 7,98 2,45 0,00 0,00 0,48 0,58 0,00 27,21 10,90 38,65 45,39 3,28 11,00 3,57 7,89 0,48 1,39 4,12 2,97 4,43 0,59
12:53:28,689 2,64 16,06 10,90 4,04 5,44 4,56 2,66 0,00 0,00 0,00 0,02 0,03 0,03 1,43 6,60 0,27 15,93 14,92 6,26 1,95 0,50 0,18 0,09 0,25 12,08 3,80 2,06 7,95 2,44 0,00 0,00 0,48 0,58 0,00 31,70 20,17 79,56 48,32 4,71 11,91 3,82 8,41 0,50 1,46 4,39 3,11 4,62 0,63
12:53:31,003 2,63 15,99 10,86 4,02 5,42 4,54 2,66 0,00 0,00 0,00 0,02 0,03 0,03 1,41 6,58 0,26 15,84 14,87 6,20 1,92 0,49 0,18 0,08 0,25 11,92 3,78 2,00 7,89 2,43 0,00 0,00 0,48 0,58 0,00 17,85 2,00 5,30 38,23 1,21 7,47 2,57 5,78 0,33 0,98 2,66 2,16 3,36 0,40
12:53:33,331 2,61 15,86 10,79 3,99 5,38 4,51 2,64 0,00 0,00 0,00 0,02 0,03 0,03 1,40 6,56 0,26 15,75 14,83 6,15 1,91 0,49 0,17 0,08 0,25 12,03 3,79 2,04 7,94 2,44 0,00 0,00 0,48 0,58 0,00 20,03 3,18 9,11 40,07 1,59 7,47 2,57 5,78 0,22 0,67 1,66 1,53 2,50 0,27
12:53:35,643 2,62 15,87 10,80 4,00 5,38 4,52 2,64 0,00 0,00 0,00 0,02 0,03 0,03 1,39 6,56 0,25 15,74 14,82 6,14 1,90 0,49 0,17 0,08 0,25 11,98 3,79 2,02 7,92 2,43 0,00 0,00 0,48 0,58 0,00 33,65 25,63 105,39 49,51 5,43 9,34 3,10 6,92 0,57 1,65 5,11 3,47 5,08 0,71
12:53:37,932 2,61 15,84 10,78 3,99 5,37 4,51 2,64 0,00 0,00 0,00 0,02 0,03 0,03 1,35 6,52 0,24 15,54 14,72 6,02 1,87 0,49 0,17 0,08 0,25 11,97 3,79 2,02 7,91 2,43 0,00 0,00 0,48 0,58 0,00 44,21 76,86 382,19 55,34 10,35 8,55 2,88 6,44 0,19 0,60 1,45 1,39 2,29 0,24
12:53:40,242 2,61 15,79 10,75 3,98 5,36 4,50 2,63 0,00 0,00 0,00 0,02 0,03 0,03 1,37 6,54 0,25 15,63 14,77 6,07 1,86 0,49 0,17 0,08 0,25 11,97 3,79 2,02 7,91 2,43 0,00 0,00 0,48 0,57 0,00 36,73 36,46 159,35 51,31 6,68 11,28 3,65 8,05 0,77 2,18 7,20 4,45 6,30 0,96
12:53:42,568 2,63 16,01 10,87 4,03 5,43 4,54 2,66 0,00 0,00 0,00 0,02 0,03 0,03 1,41 6,58 0,26 15,84 14,88 6,20 2,23 0,54 0,22 0,10 0,27 12,12 3,81 2,07 7,97 2,44 0,00 0,00 0,48 0,57 0,00 31,43 19,48 76,38 48,15 4,62 7,41 2,55 5,74 0,35 1,03 2,83 2,26 3,50 0,43
12:53:44,893 2,68 16,40 11,07 4,12 5,54 4,62 2,70 0,00 0,00 0,00 0,02 0,03 0,03 1,61 6,76 0,32 16,73 15,33 6,77 3,20 0,66 0,39 0,13 0,33 12,52 3,86 2,22 8,13 2,47 0,00 0,00 0,48 0,58 0,00 45,59 86,92 441,47 56,03 11,13 11,95 3,83 8,44 0,50 1,46 4,37 3,10 4,60 0,62
