13:20:59,517 4,57 34,58 19,90 8,06 10,76 7,87 4,66 0,00 0,00 0,00 0,08 0,07 0,08 60,14 14,51 68,18 77,70 35,46 79,60 12,43 1,40 3,18 0,45 0,69 54,43 7,09 49,64 20,15 4,41 0,02 0,05 0,70 0,81 0,01 2,31 0,00 0,00 16,61 0,01 3,94 1,49 3,45 0,00 0,00 0,00 0,01 0,02 0,00
13:21:01,819 3,10 20,07 12,98 4,94 6,63 5,34 3,13 0,00 0,00 0,00 0,04 0,04 0,04 5,15 8,64 1,78 27,41 20,07 14,96 5,34 0,87 0,86 0,21 0,43 17,96 4,48 4,76 10,16 2,85 0,00 0,01 0,53 0,63 0,00 1,86 0,00 0,00 15,19 0,01 1,98 0,83 1,98 0,00 0,00 0,00 0,01 0,02 0,00
13:21:04,135 2,88 18,16 12,00 4,51 6,07 4,97 2,91 0,00 0,00 0,00 0,03 0,04 0,04 3,34 7,89 0,94 22,82 18,16 11,15 4,56 0,80 0,67 0,18 0,40 14,54 4,10 3,04 8,92 2,62 0,00 0,01 0,50 0,60 0,00 0,94 0,00 0,00 11,48 0,00 1,57 0,68 1,64 0,00 0,00 0,00 0,00 0,01 0,00
13:21:06,447 2,85 17,85 11,84 4,44 5,98 4,91 2,88 0,00 0,00 0,00 0,03 0,04 0,04 3,04 7,74 0,81 21,93 17,77 10,45 4,39 0,78 0,63 0,18 0,39 14,29 4,07 2,93 8,83 2,61 0,00 0,00 0,50 0,59 0,00 1,23 0,00 0,00 12,85 0,00 1,88 0,80 1,91 0,00 0,00 0,00 0,00 0,01 0,00
13:21:08,750 2,83 17,74 11,78 4,42 5,95 4,89 2,86 0,00 0,00 0,00 0,03 0,04 0,04 2,99 7,70 0,79 21,75 17,69 10,32 4,32 0,78 0,62 0,18 0,39 14,25 4,07 2,91 8,81 2,60 0,00 0,00 0,50 0,59 0,00 1,78 0,00 0,00 14,93 0,01 1,72 0,74 1,77 0,00 0,00 0,00 0,00 0,01 0,00
13:21:11,096 2,84 17,76 11,79 4,42 5,95 4,89 2,87 0,00 0,00 0,00 0,03 0,04 0,04 2,98 7,70 0,79 21,72 17,68 10,29 4,31 0,78 0,61 0,17 0,39 14,15 4,06 2,87 8,77 2,60 0,00 0,00 0,50 0,59 0,00 0,98 0,00 0,00 11,72 0,00 1,32 0,59 1,43 0,00 0,00 0,00 0,00 0,01 0,00
13:21:13,400 2,83 17,69 11,75 4,41 5,93 4,88 2,86 0,00 0,00 0,00 0,03 0,04 0,04 2,94 7,68 0,78 21,62 17,63 10,22 4,29 0,77 0,61 0,17 0,39 14,13 4,06 2,86 8,76 2,60 0,00 0,00 0,50 0,59 0,00 2,01 0,00 0,00 15,70 0,01 1,76 0,75 1,80 0,00 0,00 0,00 0,00 0,01 0,00
13:21:15,695 2,83 17,75 11,79 4,42 5,95 4,89 2,87 0,00 0,00 0,00 0,03 0,04 0,04 2,94 7,68 0,77 21,60 17,63 10,21 4,29 0,77 0,61 0,17 0,39 13,95 4,03 2,79 8,69 2,58 0,00 0,00 0,50 0,59 0,00 0,89 0,00 0,00 11,25 0,00 1,38 0,61 1,48 0,00 0,00 0,00 0,00 0,01 0,00
13:21:18,010 2,84 17,77 11,79 4,42 5,95 4,89 2,87 0,00 0,00 0,00 0,03 0,04 0,04 2,94 7,68 0,77 21,60 17,62 10,21 4,28 0,77 0,61 0,17 0,39 14,18 4,06 2,88 8,78 2,60 0,00 0,00 0,50 0,59 0,00 0,89 0,00 0,00 11,24 0,00 1,26 0,56 1,38 0,00 0,00 0,00 0,00 0,01 0,00
13:21:20,324 2,83 17,69 11,75 4,41 5,93 4,88 2,86 0,00 0,00 0,00 0,03 0,04 0,04 2,94 7,68 0,77 21,60 17,62 10,20 4,27 0,77 0,61 0,17 0,38 14,05 4,05 2,83 8,73 2,59 0,00 0,00 0,50 0,59 0,00 1,25 0,00 0,00 12,91 0,00 1,78 0,76 1,82 0,00 0,00 0,00 0,00 0,01 0,00
13:21:22,644 2,82 17,63 11,72 4,39 5,91 4,87 2,85 0,00 0,00 0,00 0,03 0,04 0,04 2,94 7,68 0,77 21,60 17,62 10,20 4,26 0,77 0,60 0,17 0,38 13,94 4,03 2,78 8,69 2,58 0,00 0,00 0,50 0,59 0,00 0,90 0,00 0,00 11,32 0,00 1,46 0,64 1,55 0,00 0,00 0,00 0,00 0,01 0,00
